id,UID,FRIEND_UID,USER_SOCIAL_ID,FRIEND_SOCIAL_ID,SOCIAL_TYPE,REASON,CREATED_AT,UPDATED_AT
1775,l2C0x3GslXcEp55csFe1EQKz0Vc2,NK2cvY1U7zMN05nOiNhSGmU6tJJ2,l2C0x3GslXcEp55csFe1EQKz0Vc2,10156635624723753,facebook,upload_friends uploader,2019-07-17 23:12:54,2019-07-17 23:12:54
1776,NK2cvY1U7zMN05nOiNhSGmU6tJJ2,l2C0x3GslXcEp55csFe1EQKz0Vc2,10156635624723753,l2C0x3GslXcEp55csFe1EQKz0Vc2,facebook,upload_friends,2019-07-17 23:12:54,2019-07-17 23:12:54
1777,l2C0x3GslXcEp55csFe1EQKz0Vc2,WJbi7yegd0cNzU4R1cl0V6OPLaF3,l2C0x3GslXcEp55csFe1EQKz0Vc2,10156379395027963,facebook,upload_friends uploader,2019-07-17 23:12:54,2019-07-17 23:12:54
1778,WJbi7yegd0cNzU4R1cl0V6OPLaF3,l2C0x3GslXcEp55csFe1EQKz0Vc2,10156379395027963,l2C0x3GslXcEp55csFe1EQKz0Vc2,facebook,upload_friends,2019-07-17 23:12:54,2019-07-17 23:12:54
1779,l2C0x3GslXcEp55csFe1EQKz0Vc2,XwzxcuRbzuNDM9ndntItHpYOvzN2,l2C0x3GslXcEp55csFe1EQKz0Vc2,10219044739130549,facebook,upload_friends uploader,2019-07-17 23:12:54,2019-07-17 23:12:54
1780,XwzxcuRbzuNDM9ndntItHpYOvzN2,l2C0x3GslXcEp55csFe1EQKz0Vc2,10219044739130549,l2C0x3GslXcEp55csFe1EQKz0Vc2,facebook,upload_friends,2019-07-17 23:12:54,2019-07-17 23:12:54
1781,dZedGe9n9pXjzJw2y2qf9GcJqyA2,l2C0x3GslXcEp55csFe1EQKz0Vc2,dZedGe9n9pXjzJw2y2qf9GcJqyA2,l2C0x3GslXcEp55csFe1EQKz0Vc2,ondee,referer,2019-07-17 23:14:06,2019-07-17 23:14:06
1782,l2C0x3GslXcEp55csFe1EQKz0Vc2,dZedGe9n9pXjzJw2y2qf9GcJqyA2,l2C0x3GslXcEp55csFe1EQKz0Vc2,dZedGe9n9pXjzJw2y2qf9GcJqyA2,ondee,referee,2019-07-17 23:14:06,2019-07-17 23:14:06
1783,zW4uMcnqnlWIXErPzFyXm5c9rtm2,AL4NrrGHHoOCdbGO29Rm8MFki3E2,zW4uMcnqnlWIXErPzFyXm5c9rtm2,10157328712423948,facebook,upload_friends uploader,2019-07-17 23:16:19,2019-07-17 23:16:19
1784,AL4NrrGHHoOCdbGO29Rm8MFki3E2,zW4uMcnqnlWIXErPzFyXm5c9rtm2,10157328712423948,zW4uMcnqnlWIXErPzFyXm5c9rtm2,facebook,upload_friends,2019-07-17 23:16:19,2019-07-17 23:16:19
1785,zW4uMcnqnlWIXErPzFyXm5c9rtm2,BMKykbASx0d0eJuI3ePXSMKYFh12,zW4uMcnqnlWIXErPzFyXm5c9rtm2,10219749152543065,facebook,upload_friends uploader,2019-07-17 23:16:19,2019-07-17 23:16:19
1786,BMKykbASx0d0eJuI3ePXSMKYFh12,zW4uMcnqnlWIXErPzFyXm5c9rtm2,10219749152543065,zW4uMcnqnlWIXErPzFyXm5c9rtm2,facebook,upload_friends,2019-07-17 23:16:19,2019-07-17 23:16:19
1787,zW4uMcnqnlWIXErPzFyXm5c9rtm2,wAKtwBBvwaOBwflYdrLOAsHCT0o1,zW4uMcnqnlWIXErPzFyXm5c9rtm2,1296077287209335,facebook,upload_friends uploader,2019-07-17 23:16:19,2019-07-17 23:16:19
1788,wAKtwBBvwaOBwflYdrLOAsHCT0o1,zW4uMcnqnlWIXErPzFyXm5c9rtm2,1296077287209335,zW4uMcnqnlWIXErPzFyXm5c9rtm2,facebook,upload_friends,2019-07-17 23:16:19,2019-07-17 23:16:19
1789,UjxN5JNCGKVLABInmBIlZAHSH4i2,AL4NrrGHHoOCdbGO29Rm8MFki3E2,UjxN5JNCGKVLABInmBIlZAHSH4i2,10157328712423948,facebook,upload_friends uploader,2019-07-17 23:16:44,2019-07-17 23:16:44
1790,AL4NrrGHHoOCdbGO29Rm8MFki3E2,UjxN5JNCGKVLABInmBIlZAHSH4i2,10157328712423948,UjxN5JNCGKVLABInmBIlZAHSH4i2,facebook,upload_friends,2019-07-17 23:16:44,2019-07-17 23:16:44
1791,UjxN5JNCGKVLABInmBIlZAHSH4i2,zW4uMcnqnlWIXErPzFyXm5c9rtm2,UjxN5JNCGKVLABInmBIlZAHSH4i2,10157451959954628,facebook,upload_friends uploader,2019-07-17 23:16:44,2019-07-17 23:16:44
1792,zW4uMcnqnlWIXErPzFyXm5c9rtm2,UjxN5JNCGKVLABInmBIlZAHSH4i2,10157451959954628,UjxN5JNCGKVLABInmBIlZAHSH4i2,facebook,upload_friends,2019-07-17 23:16:44,2019-07-17 23:16:44
1793,UjxN5JNCGKVLABInmBIlZAHSH4i2,BMKykbASx0d0eJuI3ePXSMKYFh12,UjxN5JNCGKVLABInmBIlZAHSH4i2,10219749152543065,facebook,upload_friends uploader,2019-07-17 23:16:44,2019-07-17 23:16:44
1794,BMKykbASx0d0eJuI3ePXSMKYFh12,UjxN5JNCGKVLABInmBIlZAHSH4i2,10219749152543065,UjxN5JNCGKVLABInmBIlZAHSH4i2,facebook,upload_friends,2019-07-17 23:16:44,2019-07-17 23:16:44
1795,UjxN5JNCGKVLABInmBIlZAHSH4i2,wAKtwBBvwaOBwflYdrLOAsHCT0o1,UjxN5JNCGKVLABInmBIlZAHSH4i2,1296077287209335,facebook,upload_friends uploader,2019-07-17 23:16:44,2019-07-17 23:16:44
1796,wAKtwBBvwaOBwflYdrLOAsHCT0o1,UjxN5JNCGKVLABInmBIlZAHSH4i2,1296077287209335,UjxN5JNCGKVLABInmBIlZAHSH4i2,facebook,upload_friends,2019-07-17 23:16:44,2019-07-17 23:16:44
1797,QIv87wnGRLhCNr6wHNRseF2bXLK2,r3yghORBaBQLAQpcvXrZ8dIJCBf1,QIv87wnGRLhCNr6wHNRseF2bXLK2,r3yghORBaBQLAQpcvXrZ8dIJCBf1,ondee,referer,2019-07-17 23:25:58,2019-07-17 23:25:58
1798,r3yghORBaBQLAQpcvXrZ8dIJCBf1,QIv87wnGRLhCNr6wHNRseF2bXLK2,r3yghORBaBQLAQpcvXrZ8dIJCBf1,QIv87wnGRLhCNr6wHNRseF2bXLK2,ondee,referee,2019-07-17 23:25:58,2019-07-17 23:25:58
1799,zW4uMcnqnlWIXErPzFyXm5c9rtm2,UjxN5JNCGKVLABInmBIlZAHSH4i2,zW4uMcnqnlWIXErPzFyXm5c9rtm2,10157470438887148,facebook,upload_friends uploader,2019-07-17 23:28:51,2019-07-17 23:28:51
1800,UjxN5JNCGKVLABInmBIlZAHSH4i2,zW4uMcnqnlWIXErPzFyXm5c9rtm2,10157470438887148,zW4uMcnqnlWIXErPzFyXm5c9rtm2,facebook,upload_friends,2019-07-17 23:28:51,2019-07-17 23:28:51
1801,IT5flYA8G0XbP0XhNQRjYw8KmEa2,5K5NQUUckleRsRFYevqrHfQAwZh2,IT5flYA8G0XbP0XhNQRjYw8KmEa2,5K5NQUUckleRsRFYevqrHfQAwZh2,ondee,referer,2019-07-17 23:36:46,2019-07-17 23:36:46
1802,5K5NQUUckleRsRFYevqrHfQAwZh2,IT5flYA8G0XbP0XhNQRjYw8KmEa2,5K5NQUUckleRsRFYevqrHfQAwZh2,IT5flYA8G0XbP0XhNQRjYw8KmEa2,ondee,referee,2019-07-17 23:36:46,2019-07-17 23:36:46
1803,UBb9x4aXgicX1wVgoEDQWtUz6UD2,WFSFQVCUoxZdHQpiwdfqLjG3E5J3,UBb9x4aXgicX1wVgoEDQWtUz6UD2,WFSFQVCUoxZdHQpiwdfqLjG3E5J3,ondee,referer,2019-07-17 23:38:21,2019-07-17 23:38:21
1804,WFSFQVCUoxZdHQpiwdfqLjG3E5J3,UBb9x4aXgicX1wVgoEDQWtUz6UD2,WFSFQVCUoxZdHQpiwdfqLjG3E5J3,UBb9x4aXgicX1wVgoEDQWtUz6UD2,ondee,referee,2019-07-17 23:38:21,2019-07-17 23:38:21
1805,IT5flYA8G0XbP0XhNQRjYw8KmEa2,37iu6HOsmJWrE0Ek8qJpYRzVoGN2,IT5flYA8G0XbP0XhNQRjYw8KmEa2,37iu6HOsmJWrE0Ek8qJpYRzVoGN2,ondee,referer,2019-07-17 23:42:40,2019-07-17 23:42:40
1806,37iu6HOsmJWrE0Ek8qJpYRzVoGN2,IT5flYA8G0XbP0XhNQRjYw8KmEa2,37iu6HOsmJWrE0Ek8qJpYRzVoGN2,IT5flYA8G0XbP0XhNQRjYw8KmEa2,ondee,referee,2019-07-17 23:42:40,2019-07-17 23:42:40
1807,GEhDHOrqSQetAxNTp3cfmqZHKgd2,m8RiyM83d1SRFJvBqou9Xj2cb2h1,GEhDHOrqSQetAxNTp3cfmqZHKgd2,m8RiyM83d1SRFJvBqou9Xj2cb2h1,ondee,referer,2019-07-17 23:44:48,2019-07-17 23:44:48
1808,m8RiyM83d1SRFJvBqou9Xj2cb2h1,GEhDHOrqSQetAxNTp3cfmqZHKgd2,m8RiyM83d1SRFJvBqou9Xj2cb2h1,GEhDHOrqSQetAxNTp3cfmqZHKgd2,ondee,referee,2019-07-17 23:44:48,2019-07-17 23:44:48
1809,WQy7B6k2l4MOxsufKK34rYbiFSN2,K4NMb5f8wXYRWrqqseGBPW3aXdx1,WQy7B6k2l4MOxsufKK34rYbiFSN2,10156601573962914,facebook,upload_friends uploader,2019-07-17 23:58:30,2019-07-17 23:58:30
